# refreshed_at	sub	tier	weekly_stacked	days_in_window	avg_daily_stacked
2026-05-08T06:24:18.880Z	bitcoin	1	80865	7	11552
2026-05-08T06:24:18.880Z	bitcoin_beginners	1	12309	7	1758
2026-05-08T06:24:18.880Z	bitcoin_Mining	1	12791	7	1827
2026-05-08T06:24:18.880Z	bitcoinplusplus	1	257	7	37
2026-05-08T06:24:18.880Z	bitdevs	1	4473	7	639
2026-05-08T06:24:18.880Z	lightning	1	15377	7	2197
2026-05-08T06:24:18.880Z	mempool	1	0	7	0
2026-05-08T06:24:18.880Z	nostr	1	2499	7	357
2026-05-08T06:24:18.880Z	security	1	2603	7	372
2026-05-08T06:24:18.880Z	privacy	1	7786	7	1112
2026-05-08T06:24:18.880Z	devs	1	1948	7	278
2026-05-08T06:24:18.880Z	tech	1	8889	7	1270
2026-05-08T06:24:18.880Z	AI	1	20595	7	2942
2026-05-08T06:24:18.880Z	openagents	1	1802	7	257
2026-05-08T06:24:18.880Z	meta	1	17201	7	2457
2026-05-08T06:24:18.880Z	math	2	15758	7	2251
2026-05-08T06:24:18.880Z	science	2	4552	7	650
2026-05-08T06:24:18.880Z	econ	2	36350	7	5193
2026-05-08T06:24:18.880Z	Construction_and_Engineering	2	3626	7	518
2026-05-08T06:24:18.880Z	Education	2	3413	7	488
2026-05-08T06:24:18.880Z	Stacker_Stocks	2	30656	7	4379
2026-05-08T06:24:18.880Z	charts_and_maps	2	5868	7	838
2026-05-08T06:24:18.880Z	AMA	2	17894	7	2556
2026-05-08T06:24:18.880Z	AskSN	2	14125	7	2018
2026-05-08T06:24:18.880Z	jobs	2	7000	7	1000
2026-05-08T06:24:18.880Z	ideasfromtheedge	2	155	7	22
2026-05-08T06:24:18.880Z	dotnet	2	0	7	0
2026-05-08T06:24:18.880Z	Design	2	843	7	120
2026-05-08T06:24:18.880Z	tutorials	2	0	7	0
2026-05-08T06:24:18.880Z	mostly_harmless	2	2941	7	420
2026-05-08T06:24:18.880Z	news	2	11295	7	1614
2026-05-08T06:24:18.880Z	history	2	17349	7	2478
2026-05-08T06:24:18.880Z	BooksAndArticles	2	11499	7	1643
2026-05-08T06:24:18.880Z	podcasts	2	2176	7	311
2026-05-08T06:24:18.880Z	lol	2	7786	7	1112
2026-05-08T06:24:18.880Z	Memes	2	1551	7	222
