# refreshed_at	name	nitems	stacked	spent	streak
2026-05-04T12:11:57.301Z	k00b	41	102425	120815	1072
2026-05-04T12:11:57.301Z	Scoresby	106	61013	110075	336
2026-05-04T12:11:57.301Z	grayruby	252	38136	28605	894
2026-05-04T12:11:57.301Z	0xbitcoiner	121	37593	8170	0
2026-05-04T12:11:57.301Z	BlokchainB	163	33824	105520	930
2026-05-04T12:11:57.301Z	optimism	77	24707	15229	365
2026-05-04T12:11:57.301Z	SimpleStacker	86	20401	11334	157
2026-05-04T12:11:57.301Z	art	8	12833	1223	0
2026-05-04T12:11:57.301Z	allenf	26	8367	923	0
2026-05-04T12:11:57.301Z	m0wer	15	7128	498	0
2026-05-04T12:11:57.301Z	Wumbo	6	6544	550	0
2026-05-04T12:11:57.301Z	realBitcoinDog	39	6350	1180	3
2026-05-04T12:11:57.301Z	Aardvark	1	6182	142	1
2026-05-04T12:11:57.301Z	Signal312	22	5604	3192	0
2026-05-04T12:11:57.301Z	WeAreAllSatoshi	73	5346	8942	80
2026-05-04T12:11:57.301Z	OneOneSeven	5	5176	4176	29
2026-05-04T12:11:57.301Z	Cje95	25	5173	891	0
2026-05-04T12:11:57.301Z	bitcoinplebdev	0	5100	0	0
2026-05-04T12:11:57.301Z	OT	25	4638	4494	100
2026-05-04T12:11:57.301Z	BITC0IN	15	4173	348	0
2026-05-04T12:11:57.301Z	Bell_curve	20	4163	1793	0
2026-05-04T12:11:57.301Z	login	0	3830	0	0
2026-05-04T12:11:57.301Z	south_korea_ln	9	3723	1304	0
2026-05-04T12:11:57.301Z	cryotosensei	42	3716	1460	28
2026-05-04T12:11:57.301Z	chris21million	35	3566	1303	1
2026-05-04T12:11:57.301Z	NEEDcreations	19	3498	3711	0
2026-05-04T12:11:57.301Z	Coinsreporter	13	3452	573	1
2026-05-04T12:11:57.301Z	notifications	0	3262	0	0
2026-05-04T12:11:57.301Z	winteryeti	34	3246	1189	4
2026-05-04T12:11:57.301Z	gsc360	69	3107	1824	0
2026-05-04T12:11:57.301Z	TotallyHumanWriter	10	3005	471	0
2026-05-04T12:11:57.301Z	elvismercury	0	2941	0	0
2026-05-04T12:11:57.301Z	suraz	17	2936	1224	13
2026-05-04T12:11:57.301Z	fanis	3	2917	159	0
2026-05-04T12:11:57.301Z	nout	2	2876	2543	0
2026-05-04T12:11:57.301Z	TNStacker	0	2876	2829	12
2026-05-04T12:11:57.301Z	Public_N_M_E	21	2760	3099	211
2026-05-04T12:11:57.301Z	Solomonsatoshi	171	2671	70525	6
2026-05-04T12:11:57.301Z	CrowAgent	12	2671	527	0
2026-05-04T12:11:57.301Z	StillStackinAfterAllTheseYears	7	2666	844	1
