# id	sub	score	bounty	ncom	ageH	op_since	op_nitems	tags	title
1482875	bitcoin	4407	0	42	15.2	934367	885	HOT	Where should JoinMarket development focus next?
1482952	bitcoin	2340	0	18	13.2	435224	1482	HOT	What part of Bitcoin took you longest to understand?
1482904	bitcoin	1199	0	1	14.2	593189	802	HOT	nullc losing patience with luke-jr and knots rabble
1483137	meta	370	0	9	9.1	1	26298	SIGNAL	SN Saturday Newsletter 5/2/26
1483020	meta	150	0	7	11.7	435224	1482	SIGNAL	Boosters vs Downzappers 2
1482910	bitcoin	352	0	12	14.1	74100	9637		PACTs: Protecting Your Bitcoin From a Quantum Sunset
1482677	bitcoin	604	0	0	23.5	129794	39		BOLT12 Pay now supports native clearnet exposure on StartOS (no tunnel needed)
1482733	bitcoin	302	0	0	20.8	30993	3291		Why funding open source is NOT philanthropy with Pavlenex
1482700	bitcoin	36	0	1	22.1	223678	5582		January 15th, 2011 - Barcamp San Diego - "Bitcoin Q&A"
1482726	meta	87	0	0	21.2	36151	1458		This Day on SN: May 2
1482734	AI	249	0	4	20.8	12309	3440		AMD Ryzen AI Halo Box: Mini PC with 128 GB of shared memory
