# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1485317	art	3	1508	0	0	0.2	227606	2393	recent@bitcoin|top@bitcoin|recent@lightning	FRESH,HOT,SIGNAL	Direct Current - Lightning Paywalls ✅ (maybe?)
1485097	bitcoin	1	1172	0	6	5.7	48942	1197	recent@bitcoin|top@bitcoin	HOT,SIGNAL	Found an unarchived Bitcoin Logo by Satoshi Nakamoto on the Bitcoin Sourceforge
1485174	bitcoin	1	1106	0	5	3.7	74100	9693	recent@bitcoin|top@bitcoin	HOT,SIGNAL	The Fabric of Desires - Nick Szabo (2026)
1485267	security	1	932	0	0	1.4	401865	7997	recent@security|top@security	FRESH,SIGNAL	House Office of Cybersecurity Email: Update Your Home Routers Now
1485237	bitcoin	1	760	0	0	2.2	21800	482	recent@bitcoin|top@bitcoin	SIGNAL	Introducing Alby Hub Skill — agentic control for Alby Hub
1485198	AI	1	571	0	6	3.1	280679	21189	recent@AI|top@AI	SIGNAL	No, AI Won’t Make Money Obsolete
1485268	math	2	380	0	1	1.3	74100	9693	recent@bitcoin|top@bitcoin	FRESH,SIGNAL	Zinc+: SNARKs for Polynomial Rings - Nethermind Research
1485293	meta	1	311	0	6	0.9	88718	43234	recent@meta|top@meta	FRESH,SIGNAL	Ratio of lurkers to contributors to creators
1485079	bitcoin	1	289	0	15	6.4	166	36022	recent@bitcoin|top@bitcoin	SIGNAL	Stop demanding more fiat from banks and their scammers
1485202	bitcoin	1	240	0	1	3.0	1476948	12	recent@bitcoin|top@bitcoin	SIGNAL	Bitcoin holders: You're overpaying tax without lot selection.
1485023	AI	1	228	0	0	10.7	140698	1040	recent@AI|top@AI	SIGNAL	AI Graveyard — discontinued and acquired AI tools
1485080	AI	1	198	0	10	6.3	280679	21189	recent@AI|top@AI	SIGNAL	Silicon Valley bets $200M on AI data centers floating in the ocean
1485290	meta	1	179	0	0	0.9	36151	1464	recent@meta|top@meta	FRESH,SIGNAL	What are you working on this week?
1485298	bitcoin	1	142	0	0	0.7	1458171	133	recent@nostr|top@nostr	FRESH,SIGNAL	It's all kicking off on Nostr
1484504	bitdevs	1	5370	0	4	29.7	163128	3537	recent@bitdevs	HOT	After ☂️' JoinMarket DoS Fix: Swap, Logs, Directories and Getting Back Online
1484625	lightning	1	2244	0	1	25.7	280679	21189	recent@lightning	HOT	Post Quantum Lightning: Layer by Layer
1484762	Travel	3	1710	0	28	23.0	227606	2393	recent@bitcoin|top@bitcoin|recent@privacy	HOT	Hide a message in an emoji
1484557	AI	1	1700	0	7	28.0	51481	4005	recent@AI	HOT	Coinbase cuts headcount by 14% citing AI acceleration. The shares are gaining
