# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1485317	art	3	3153	0	9	7.9	227606	2397	recent@bitcoin|top@bitcoin|recent@lightning	HOT,SIGNAL,SELF_POST_OPP	Direct Current - Lightning Paywalls ✅ (maybe?)
1485327	math	2	2463	1000	5	7.5	48657	13617	recent@bitcoin|top@bitcoin	OPEN_BOUNTY,LOW_COMP,HOT,SIGNAL,SELF_POST_OPP	Bitcoin Math Puzzle #004: Selfish Mining Pt. 4
1485267	security	1	1534	0	1	9.1	401865	8000	recent@security|top@security	HOT,SIGNAL	House Office of Cybersecurity Email: Update Your Home Routers Now
1485174	bitcoin	1	1206	0	5	11.4	74100	9710	recent@bitcoin|top@bitcoin	HOT,SIGNAL	The Fabric of Desires - Nick Szabo (2026)
1485482	meta	1	1053	0	9	4.5	435224	1490	recent@meta|top@meta	HOT,SIGNAL	The rise of self-boost culture on SN
1485376	AskSN	2	1027	0	33	6.7	74100	9710	recent@bitcoin|top@bitcoin	HOT,SIGNAL	What do stackers think of Unchained's new ad video in The Atlantic?
1485237	bitcoin	1	823	0	0	10.0	21800	482	recent@bitcoin|top@bitcoin	SIGNAL	Introducing Alby Hub Skill — agentic control for Alby Hub
1485353	bitcoin	1	764	0	1	7.1	1067935	11	recent@bitcoin|top@bitcoin|recent@bitcoin_Mining	SIGNAL	Bitcoin Asic Profitability Map
1485357	bitcoin	1	682	0	0	7.0	631896	2917	recent@bitcoin|top@bitcoin	SIGNAL	Spams/Scams on Bitcoin... are limited by Limited Blockspace and Fees
1485366	bitcoin	1	623	0	0	6.9	7854	1887	recent@bitcoin|top@bitcoin|recent@bitcoin_Mining	SIGNAL	Riot Platforms collaborates to Develop Nuclear-Powered Data Center Projects
1485198	AI	1	592	0	7	10.8	280679	21197	recent@AI|top@AI	SIGNAL	No, AI Won’t Make Money Obsolete
1485268	math	2	380	0	1	9.0	74100	9710	recent@bitcoin|top@bitcoin	SIGNAL	Zinc+: SNARKs for Polynomial Rings - Nethermind Research
