# topic	sources	score	seen_in_sn	rising_flag
# generated 2026-05-06T16:15:55.899Z; n=40
the fabric	sn:history,sn:bitcoin	6.19	yes	
desires	sn:history,sn:bitcoin	6.19	yes	
nick szabo	sn:history,sn:bitcoin	6.19	yes	
cashu	sn:bitcoin,sn:tech	5.53	yes	
show	hn	3.99	no	RISING
employment worry	sn:Politics_And_Law	3.29	no	RISING
here	sn:Politics_And_Law	3.29	no	RISING
ezra klein	sn:Politics_And_Law	3.29	no	RISING
hide	sn:Travel	3.23	yes	
direct current	sn:art	3.18	yes	
lightning paywalls	sn:art	3.18	yes	
the visible zorker project	sn:gaming	3.17	no	RISING
professional	sn:Photography	3.16	no	RISING
cooperative origin	sn:history	3.15	no	RISING
money	sn:history	3.15	no	RISING
biohazard	sn:Politics_And_Law	3.11	no	RISING
house office	sn:security	3.07	no	RISING
cybersecurity email	sn:security	3.07	no	RISING
update your home routers now	sn:security	3.07	no	RISING
found	sn:bitcoin	3.07	yes	
bitcoin logo	sn:bitcoin	3.07	yes	
satoshi nakamoto	sn:bitcoin	3.07	yes	
bitcoin sourceforge	sn:bitcoin	3.07	yes	
saylor selling sats	sn:Stacker_Stocks	3.06	no	RISING
tap-to	sn:bitcoin	3.05	yes	
industrial	sn:charts_and_maps	2.91	no	RISING
the gold standard	sn:bitcoin_Mining	2.89	no	RISING
waste	sn:bitcoin_Mining	2.89	no	RISING
jo boaler wants everyone	sn:math	2.88	no	RISING
love math	sn:math	2.88	no	RISING
introducing alby hub skill	sn:bitcoin	2.88	yes	
alby hub	sn:bitcoin	2.88	yes	
dnssec	hn	2.86	no	RISING
resolved	hn	2.86	no	RISING
grok	sn:security	2.86	yes	
richard scarry	sn:BooksAndArticles	2.85	no	RISING
busytown	sn:BooksAndArticles	2.85	no	RISING
red squares	hn	2.84	no	RISING
weapons	sn:Politics_And_Law	2.81	no	RISING
bernie sanders	sn:Politics_And_Law	2.81	no	RISING
